date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:37	7531/7531	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Sep%202024%2019:15:36%20GMT	https://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=GOOGLE&sign=f57e2df67b9a7f228c69b634d6f2bcea8eb5d847a94b3fe7557b5a24a72f78a20c20773223b19848cddb3f8f10511db4	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/login_page78aa.html	(from )
14:15:39	291/291	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Sep%202024%2019:15:38%20GMT	https://game.busidol.com/robots.txt		(from )
14:15:43	13865/13865	---M--	200	added ('OK')	text/css	etag:%223a1b4c-3629-5b4fccebffc40%22	https://game.busidol.com/BUSIDOL_GAME_GLO/css/Main.css	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/css/Main.css	(from https://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=GOOGLE&sign=f57e2df67b9a7f228c69b634d6f2bcea8eb5d847a94b3fe7557b5a24a72f78a20c20773223b19848cddb3f8f10511db4)
14:15:44	117150/117150	---M--	200	added ('OK')	text/css	etag:%223a1b4b-1c99e-50cf60cee8680%22	https://game.busidol.com/BUSIDOL_GAME_GLO/css/bootstrap.min.css	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/css/bootstrap.min.css	(from https://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=GOOGLE&sign=f57e2df67b9a7f228c69b634d6f2bcea8eb5d847a94b3fe7557b5a24a72f78a20c20773223b19848cddb3f8f10511db4)
14:15:47	84320/84320	---M--	200	added ('OK')	text/javascript	etag:%223a1b66-14960-5b20001d47c00%22	https://game.busidol.com/BUSIDOL_GAME_GLO/js/jquery-2.1.3.min.js	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/js/jquery-2.1.3.min.js	(from https://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=GOOGLE&sign=f57e2df67b9a7f228c69b634d6f2bcea8eb5d847a94b3fe7557b5a24a72f78a20c20773223b19848cddb3f8f10511db4)
14:15:47	35452/35452	---MCZ	200	added ('OK')	application/javascript	etag:W/%22046ba2b5f4cff7d2eaaa1af55caa9fd8%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.2/js/bootstrap.min.js	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/maxcdn.bootstrapcdn.com/bootstrap/3.3.2/js/bootstrap.min.js	(from https://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=GOOGLE&sign=f57e2df67b9a7f228c69b634d6f2bcea8eb5d847a94b3fe7557b5a24a72f78a20c20773223b19848cddb3f8f10511db4)
14:15:47	17521/17521	---M--	200	added ('OK')	text/javascript	etag:%223a1b67-4471-61dd154e61880%22	https://game.busidol.com/BUSIDOL_GAME_GLO/js/util_Function4web.js?20240722_1	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/js/util_Function4web3337.js	(from https://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=GOOGLE&sign=f57e2df67b9a7f228c69b634d6f2bcea8eb5d847a94b3fe7557b5a24a72f78a20c20773223b19848cddb3f8f10511db4)
14:15:49	604/604	---M--	200	added ('OK')	text/javascript	etag:%22384a5e-25c-5aec91b1b8080%22	https://game.busidol.com/ELDORADO_WEB/GoogleAnalytics/google_analytics.js	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/ELDORADO_WEB/GoogleAnalytics/google_analytics.js	(from https://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=GOOGLE&sign=f57e2df67b9a7f228c69b634d6f2bcea8eb5d847a94b3fe7557b5a24a72f78a20c20773223b19848cddb3f8f10511db4)
14:15:50	186125/186125	---M--	200	added ('OK')	text/javascript	etag:2946276819302419523	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4567312917908978	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/pagead2.googlesyndication.com/pagead/js/f0606.txt	(from https://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=GOOGLE&sign=f57e2df67b9a7f228c69b634d6f2bcea8eb5d847a94b3fe7557b5a24a72f78a20c20773223b19848cddb3f8f10511db4)
14:15:54	336/336	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Sep%202024%2019:15:53%20GMT	https://game.busidol.com/BUSIDOL_GAME_GLO/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/fonts/glyphicons-halflings-regular.9.delayed	(from https://game.busidol.com/BUSIDOL_GAME_GLO/css/bootstrap.min.css)
14:15:56	336/336	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Sep%202024%2019:15:55%20GMT	https://game.busidol.com/BUSIDOL_GAME_GLO/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/fonts/glyphicons-halflings-regular.ad41d.delayed	(from https://game.busidol.com/BUSIDOL_GAME_GLO/css/bootstrap.min.css)
14:15:57	305932/305932	---M--	200	added ('OK')	image/jpeg	etag:%223a1b64-4ab0c-5b20002300980%22	https://game.busidol.com/BUSIDOL_GAME_GLO/image/intro_bg.jpg	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/image/intro_bg.jpg	(from https://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=GOOGLE&sign=f57e2df67b9a7f228c69b634d6f2bcea8eb5d847a94b3fe7557b5a24a72f78a20c20773223b19848cddb3f8f10511db4)
14:15:57	338/338	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Sep%202024%2019:15:56%20GMT	https://game.busidol.com/BUSIDOL_GAME_GLO/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/fonts/glyphicons-halflings-regular.b.delayed	(from https://game.busidol.com/BUSIDOL_GAME_GLO/css/bootstrap.min.css)
14:15:59	337/337	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Sep%202024%2019:15:58%20GMT	https://game.busidol.com/BUSIDOL_GAME_GLO/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/ElDorado%20Busidol%20(1)/game.busidol.com/BUSIDOL_GAME_GLO/fonts/glyphicons-halflings-regular.c.delayed	(from https://game.busidol.com/BUSIDOL_GAME_GLO/css/bootstrap.min.css)
