date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:20	10354/10354	---MC-	200	added ('OK')	text/html	date:Sat,%2007%20Sep%202024%2019:21:19%20GMT	http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/login_page.html	(from )
14:21:21	290/290	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Sep%202024%2019:21:20%20GMT	http://game.busidol.com/robots.txt		(from )
14:21:25	117150/117150	---M--	200	added ('OK')	text/css	etag:%222c0d2d-1c99e-50cf60cee8680%22	http://game.busidol.com/BUSIDOL_GAME_GLO/css/bootstrap.min.css	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/css/bootstrap.min.css	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:25	13865/13865	---M--	200	added ('OK')	text/css	etag:%222c0d2e-3629-5b4fccebffc40%22	http://game.busidol.com/BUSIDOL_GAME_GLO/css/Main.css	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/css/Main.css	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:30	16642/16642	---M--	200	added ('OK')	text/javascript	etag:%222c0d3a-4102-5c5e4d02738c0%22	http://game.busidol.com/BUSIDOL_GAME_GLO/js/util_Function4web.js?20210628_1	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/js/util_Function4web688e.js	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:31	622/622	---M--	200	added ('OK')	text/javascript	etag:%222e1da8-26e-5aec91b274051%22	http://game.busidol.com/ELDORADO_WEB/GoogleAnalytics/google_analytics.js	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/ELDORADO_WEB/GoogleAnalytics/google_analytics.js	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:31	35452/35452	---MCZ	200	added ('OK')	application/javascript	etag:W/%22046ba2b5f4cff7d2eaaa1af55caa9fd8%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.2/js/bootstrap.min.js	C:/My%20Web%20Sites/Eldorado%20(2)/maxcdn.bootstrapcdn.com/bootstrap/3.3.2/js/bootstrap.min.js	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:31	84320/84320	---M--	200	added ('OK')	text/javascript	etag:%222c0d39-14960-5b20001d47c00%22	http://game.busidol.com/BUSIDOL_GAME_GLO/js/jquery-2.1.3.min.js	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/js/jquery-2.1.3.min.js	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:34	6665/6665	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Sep%202024%2019:21:33%20GMT	http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=ELDORADO&language=EN	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/login_page.a8815.delayed	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:41	214467/214467	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2013%20Aug%202024%2006:03:54%20GMT	http://t1.daumcdn.net/kas/static/ba.min.js	C:/My%20Web%20Sites/Eldorado%20(2)/t1.daumcdn.net/kas/static/ba.min.js	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:43	6661/6661	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Sep%202024%2019:21:42%20GMT	http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=OMOK&language=EN	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/login_page.c0e50.delayed	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:52	111853/111853	---M--	200	added ('OK')	image/png	etag:%222c0d44-1b4ed-5b83833a9d200%22	http://game.busidol.com/BUSIDOL_GAME_GLO/image/app_icon/appicon_eldorado_eng.png	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/image/app_icon/appicon_eldorado_eng.png	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:21:53	6663/6663	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Sep%202024%2019:21:52%20GMT	http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=JANGGI&language=EN	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/login_page.ed6f4.delayed	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:22:03	137358/137358	---M--	200	added ('OK')	image/png	etag:%222c0d41-2188e-5b8383423e400%22	http://game.busidol.com/BUSIDOL_GAME_GLO/image/app_icon/appicon_omok_eng.png	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/image/app_icon/appicon_omok_eng.png	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:22:05	76773/76773	---M--	200	added ('OK')	image/png	etag:%222c0d42-12be5-5b83834daff00%22	http://game.busidol.com/BUSIDOL_GAME_GLO/image/app_icon/appicon_janggi_eng.png	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/image/app_icon/appicon_janggi_eng.png	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:22:06	6663/6663	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Sep%202024%2019:22:05%20GMT	http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php?mode=PUZZLE&language=EN	C:/My%20Web%20Sites/Eldorado%20(2)/game.busidol.com/BUSIDOL_GAME_GLO/login_page.10ef5a.delayed	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
14:22:06	186127/186127	---M--	200	added ('OK')	text/javascript	etag:6108732343824381353	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4567312917908978	C:/My%20Web%20Sites/Eldorado%20(2)/pagead2.googlesyndication.com/pagead/js/f0606.txt	(from http://game.busidol.com/BUSIDOL_GAME_GLO/login_page.php)
